MSG_ADJUSTZ "Auto doladit Z ?"
MSG_ALL "Vse"
MSG_AUTO_HOME "Auto home"
MSG_AUTO_MODE_ON "Mod [automaticky]"
MSG_AUTOLOAD_FILAMENT "AutoZavedeni fil."
MSG_AUTOLOADING_ENABLED "Automaticke zavadeni filamentu aktivni, stisknete tlacitko a vlozte filament..."
MSG_AUTOLOADING_ONLY_IF_FSENS_ON "Automaticke zavadeni filamentu dostupne pouze pri zapnutem filament senzoru..."
MSG_BABYSTEP_X "Babystep X"
MSG_BABYSTEP_Y "Babystep Y"
MSG_BABYSTEP_Z "Doladeni osy Z"
MSG_BABYSTEP_Z_NOT_SET "Neni zkalibrovana vzdalenost trysky od tiskove podlozky. Postupujte prosim podle manualu, kapitola Zaciname, odstavec Nastaveni prvni vrstvy."
MSG_BABYSTEPPING_X "Babystepping X"
MSG_BABYSTEPPING_Y "Babystepping Y"
MSG_BABYSTEPPING_Z "Dostavovani Z"
MSG_BED "Bed"
MSG_BED_CORRECTION_FRONT "Vpredu [um]"
MSG_BED_CORRECTION_LEFT "Vlevo  [um]"
MSG_BED_CORRECTION_MENU "Korekce podlozky"
MSG_BED_CORRECTION_REAR "Vzadu  [um]"
MSG_BED_CORRECTION_RESET "Reset"
MSG_BED_CORRECTION_RIGHT "Vpravo [um]"
MSG_BED_DONE "Bed OK."
MSG_BED_HEATING "Zahrivani bed"
MSG_BED_HEATING_SAFETY_DISABLED "Zahrivani preruseno bezpecnostnim casovacem."
MSG_BED_LEVELING_FAILED_POINT_HIGH "Kalibrace Z selhala. Sensor sepnul prilis vysoko. Cekam na reset."
MSG_BED_LEVELING_FAILED_POINT_LOW "Kalibrace Z selhala. Sensor nesepnul. Znecistena tryska? Cekam na reset."
MSG_BED_LEVELING_FAILED_PROBE_DISCONNECTED "Kalibrace Z selhala. Sensor je odpojeny nebo preruseny kabel. Cekam na reset."
MSG_BED_SKEW_OFFSET_DETECTION_FAILED_FRONT_BOTH_FAR "Kalibrace XYZ selhala. Predni kalibracni body moc vpredu. Srovnejte tiskarnu."
MSG_BED_SKEW_OFFSET_DETECTION_FAILED_FRONT_LEFT_FAR "Kalibrace XYZ selhala. Levy predni bod moc vpredu. Srovnejte tiskarnu."
