MSG_ADJUSTZ "Auto Z einstellen?"
MSG_ALL "Alle"
MSG_AUTO_HOME "Startposition"
MSG_BABYSTEP_X "Babystep X"
MSG_BABYSTEP_Y "Babystep Y"
MSG_BABYSTEP_Z "Z einstellen"
MSG_BABYSTEP_Z_NOT_SET "Der Abstand zwischen der Spitze der Duese und der Bett ist noch nicht eingestellt. Bitte folgen Sie dem Handbuch, First steps, section First layer calibration."
MSG_BABYSTEPPING_X "Babystepping X"
MSG_BABYSTEPPING_Y "Babystepping Y"
MSG_BABYSTEPPING_Z "Z wurde eingestellt"
MSG_BED "Bett"
MSG_BED_CORRECTION_FRONT "Vorne     [um]"
MSG_BED_CORRECTION_LEFT "Links     [um]"
MSG_BED_CORRECTION_MENU "Bett level Korrekt"
MSG_BED_CORRECTION_REAR "Hinten    [um]"
MSG_BED_CORRECTION_RESET "Ruecksetzen"
MSG_BED_CORRECTION_RIGHT "Rechts    [um]"
MSG_BED_DONE "Bett OK"
MSG_BED_HEATING "Bett aufwaermen"
MSG_BED_LEVELING_FAILED_POINT_HIGH "Z-Kalibrierung fehlgeschlg. Sensor zu hoch ausgeloest. Warte auf Reset."
MSG_BED_LEVELING_FAILED_POINT_LOW "Z-Kal. fehlgeschlg. Sensor nicht ausgeloest. Schmutzige Duese? Warte auf Reset"
MSG_BED_LEVELING_FAILED_PROBE_DISCONNECTED "Z-Kalibrierung fehlgeschlg. Sensor nicht angeschlossen. Warte auf Reset."
MSG_BED_SKEW_OFFSET_DETECTION_FAILED_FRONT_BOTH_FAR "XYZ-Kalibrierung fehlgeschlagen. Vordere Kalibrierpunkte sind zu weit vorne."
MSG_BED_SKEW_OFFSET_DETECTION_FAILED_FRONT_LEFT_FAR "XYZ-Kalibrierung fehlgeschlagen. Linker vorderer Kalibrierpunkt ist zu weit vorne."
MSG_BED_SKEW_OFFSET_DETECTION_FAILED_FRONT_RIGHT_FAR "XYZ-Kalibrierung fehlgeschlagen. Rechter vorderer Kalibrierpunkt ist zu weit vorne."
MSG_BED_SKEW_OFFSET_DETECTION_FITTING_FAILED "XYZ-Kalibrierung fehlgeschlagen. Bitte schauen Sie in das Handbuch."
MSG_BED_SKEW_OFFSET_DETECTION_PERFECT "XYZ-Kalibrierung ok. X/Y-Achsen sind senkrecht zueinander. Glueckwunsch!"
MSG_BED_SKEW_OFFSET_DETECTION_POINT_NOT_FOUND "XYZ-Kalibrierung fehlgeschlagen. Bett-Kalibrierpunkt nicht gefunden."
MSG_BED_SKEW_OFFSET_DETECTION_SKEW_EXTREME "XYZ Kalibrierung in Ordnung. Schiefheit wird automatisch korrigiert."
MSG_BED_SKEW_OFFSET_DETECTION_SKEW_MILD "XYZ Kalibrierung in Ordnung. X/Y Achsen sind etwas schief."
MSG_BED_SKEW_OFFSET_DETECTION_WARNING_FRONT_BOTH_FAR "XYZ-Kalibrierung ungenau. Vordere Kalibrierpunkte sind zu weit vorne."
MSG_BED_SKEW_OFFSET_DETECTION_WARNING_FRONT_LEFT_FAR "XYZ-Kalibrierung ungenau. Linker vorderer Kalibrierpunkt ist zu weit vorne."
MSG_BED_SKEW_OFFSET_DETECTION_WARNING_FRONT_RIGHT_FAR "XYZ-Kalibrierung ungenau. Rechter vorderer Kalibrierpunkt ist zu weit vorne."
MSG_BEGIN_FILE_LIST "Beginn Dateiliste"
MSG_CALIBRATE_BED "Kalibrierung XYZ"
MSG_CALIBRATE_BED_RESET "Reset XYZ Kalibr."
MSG_CALIBRATE_E "Kalibriere E"
MSG_CALIBRATE_PINDA "Kalibrieren"
MSG_CALIBRATION_PINDA_MENU "Temp. kalibrieren"
MSG_CARD_MENU "Drucken von SD"
MSG_CLEAN_NOZZLE_E "E-Kalibrierung beendet. Bitte reinigen Sie die Duese. Klicken wenn fertig."
MSG_CNG_SDCARD "Wechsel SD Karte"
MSG_CONFIGURATION_VER " Letztes Update:"
MSG_CONFIRM_CARRIAGE_AT_THE_TOP "Ist der Schlitten ganz oben?"
MSG_CONFIRM_NOZZLE_CLEAN "Bitte entfernen Sie ueberstehendes Filament von der Duese. Klicken wenn sauber."
MSG_CONFIRM_NOZZLE_CLEAN_FIL_ADJ "Filamente sind jetzt eingestellt. Bitte reinigen Sie die Duese zur Kalibrierung. Klicken wenn fertig."
MSG_CONTROL "Kontrolle"
MSG_COOLDOWN "Abkuehlen"
MSG_CORRECTLY "Wechsel ok?"
MSG_CURRENT "Aktuelles"
MSG_DATE "Datum"
MSG_DISABLE_STEPPERS "Motoren aus"
MSG_DWELL "Einen Moment bitte."
MSG_E_CAL_KNOB "Knopf drehen bis die Filamentmarkierung erreicht ist. Klicken wenn fertig."
MSG_END_FILE_LIST "Ende Dateiliste"
MSG_ENDSTOP_HIT "AUSGELOEST"
MSG_ENDSTOP_OPEN "offen"
MSG_ENDSTOPS_HIT "Endanschlag erreicht"
MSG_Enqueing "enqueuing \"
MSG_ERR_COLD_EXTRUDE_STOP "Stopp, Extruder kalt!"
MSG_ERR_CHECKSUM_MISMATCH "Pruefsummenfehler, Letzte Zeile: " //Checksum Fehler, Letzte Zeile: "
MSG_ERR_KILLED "Printer gestoppt. kill() aufgerufen!"
MSG_ERR_NO_CHECKSUM "Keine Pruefsumme mit Zeilennummer, Letzte Zeile: " //Keine Checksum mit Zeilennummer, Letzte Zeile: "
MSG_ERR_NO_THERMISTORS "Keine Thermistoren - keine Temperatur"
MSG_ERR_STOPPED "Drucker aufgrund von Fehlern gestoppt. Fehler beheben und mit M999 neu starten. (Temperatur wird zurueckgesetzt. Nach dem Neustart neu einstellen!)"
MSG_ERROR "FEHLER:"
MSG_EXTRUDER "Extruder"
MSG_EXTRUDER_1 "Extruder 1"
MSG_EXTRUDER_2 "Extruder 2"
MSG_EXTRUDER_3 "Extruder 3"
MSG_EXTRUDER_4 "Extruder 4"
MSG_FACTOR " \002 Fakt"
MSG_FAN_SPEED "Luefter-Tempo"
MSG_FIL_ADJUSTING "Filament positionieren. Bitte warten."
MSG_FILAMENT_CLEAN "Ist Farbe rein?"
MSG_FILAMENT_LOADING_T0 "Filament in extruder 1 einlegen. Klicken wenn fertig."
MSG_FILAMENT_LOADING_T1 "Filament in extruder 2 einlegen. Klicken wenn fertig."
MSG_FILAMENT_LOADING_T2 "Filament in extruder 3 einlegen. Klicken wenn fertig."
MSG_FILAMENT_LOADING_T3 "Filament in extruder 4 einlegen. Klicken wenn fertig."
MSG_FILAMENTCHANGE "Filament-Wechsel"
MSG_FIND_BED_OFFSET_AND_SKEW_ITERATION "Iteration "
MSG_FIND_BED_OFFSET_AND_SKEW_LINE1 "Suchen Bett Kalibrierpunkt"
MSG_FIND_BED_OFFSET_AND_SKEW_LINE2 " von 4"
MSG_FINISHING_MOVEMENTS "Bewegung beenden"
MSG_FLOW "Durchfluss"
MSG_FLOW0 "Durchfluss 0"
MSG_FLOW1 "Durchfluss 1"
MSG_FLOW2 "Durchfluss 2"
MSG_FOLLOW_CALIBRATION_FLOW "Der Drucker wurde noch nicht kalibriert. Bitte folgen Sie das Handbuch, Kapitel First steps, Abschnitt Calibration flow."
MSG_FREE_MEMORY " Freier Speicher: "
MSG_HEATING "Aufwaermen"
MSG_HEATING_COMPLETE "Aufwaermen OK"
MSG_HOMEYZ "Kalibrieren Z"
MSG_HOMEYZ_DONE "Kalibrierung OK"
MSG_HOMEYZ_PROGRESS "Kalibriere Z"
MSG_CHANGE_EXTR "Wechsel extruder"
MSG_CHANGE_SUCCESS "Wechsel erfolgr.!"
MSG_CHANGING_FILAMENT "Filament-Wechsel!"
MSG_CHOOSE_EXTRUDER "Waehlen Sie Extruder"
MSG_IMPROVE_BED_OFFSET_AND_SKEW_LINE1 "Verbesserung Bett Kalibrierpunkt"
MSG_IMPROVE_BED_OFFSET_AND_SKEW_LINE2 " von 4"
MSG_INIT_SDCARD "Init SD Karte"
MSG_INSERT_FILAMENT "Filament einlegen"
MSG_KILLED "ABGEBROCHEN. "
MSG_LANGUAGE_NAME "Deutsch"
MSG_LANGUAGE_SELECT "Waehle Sprache"
MSG_LEFT "Links:"
MSG_LOAD_ALL "Alle laden"
MSG_LOAD_EPROM "Lade Speicher"
MSG_LOAD_FILAMENT "Filament laden"
MSG_LOAD_FILAMENT_1 "Filament 1 laden"
MSG_LOAD_FILAMENT_2 "Filament 2 laden"
MSG_LOAD_FILAMENT_3 "Filament 3 laden"
MSG_LOAD_FILAMENT_4 "Filament 4 laden"
