MSG_ADJUSTZ "Autodostroic Z?"
MSG_ALL "Wszystko"
MSG_AUTO_HOME "Auto home"
MSG_BABYSTEP_X "Babystep X"
MSG_BABYSTEP_Y "Babystep Y"
MSG_BABYSTEP_Z "Dostrojenie osy Z" 
MSG_BABYSTEP_Z_NOT_SET "Odleglosc dyszy od podkladki nie jest skalibrowana. Postepuj zgodnie z instrukcja rozdzial Zaczynamy, podrozdzial Kalibracja pierwszej warstwy."
MSG_BABYSTEPPING_X "Babystepping X"
MSG_BABYSTEPPING_Y "Babystepping Y"
MSG_BABYSTEPPING_Z "Dostrojenie Z"
MSG_BED "Stolik"
MSG_BED_CORRECTION_FRONT "Do przodu [um]"
MSG_BED_CORRECTION_LEFT "W lewo  [um]"
MSG_BED_CORRECTION_MENU "Korekta podkladki"
MSG_BED_CORRECTION_REAR "Do tylu  [um]"
MSG_BED_CORRECTION_RESET "Reset"
MSG_BED_CORRECTION_RIGHT "W prawo [um]"
MSG_BED_DONE "Stolik OK."
MSG_BED_HEATING "Grzanie stolika.."
MSG_BED_LEVELING_FAILED_POINT_HIGH "Kalibracja Z nieudana. Sensor dotk. za wysoko. Czekam na reset."
MSG_BED_LEVELING_FAILED_POINT_LOW "Kalibracja nieudana. Sensor nie dotknal. Zanieczysz. dysza? Czekam na reset."
MSG_BED_LEVELING_FAILED_PROBE_DISCONNECTED "Kalibracja nieudana. Sensor odlaczony lub uszkodz. kabel. Czekam na reset."
MSG_BED_SKEW_OFFSET_DETECTION_FAILED_FRONT_BOTH_FAR "Kalibr. XYZ nieudana. Przed. punkty kalibr. zbyt do przodu. Wyrownac drukarke."
MSG_BED_SKEW_OFFSET_DETECTION_FAILED_FRONT_LEFT_FAR "Kalibr. XYZ nieudana. Lewy przedni punkt zbyt do przodu. Wyrownac drukarke."
MSG_BED_SKEW_OFFSET_DETECTION_FAILED_FRONT_RIGHT_FAR "Kalibr. XYZ nieudana. Prawy przedni punkt zbyt do przodu. Wyrownac drukarke."
MSG_BED_SKEW_OFFSET_DETECTION_FITTING_FAILED "Kalibracja XYZ niepowiedziona. Sprawdzic w instrukcji."
MSG_BED_SKEW_OFFSET_DETECTION_PERFECT "Kalibracja XYZ ok. Osie X/Y sa prostopadle. Gratulacje!"
MSG_BED_SKEW_OFFSET_DETECTION_POINT_NOT_FOUND "Kalibr. XYZ nieudana. Kalibracyjny punkt podkladki nieznaleziony."
MSG_BED_SKEW_OFFSET_DETECTION_SKEW_EXTREME "Kalibracja XYZ prawidlowa. Skosy beda automatycznie wyrownane przy druku."
MSG_BED_SKEW_OFFSET_DETECTION_SKEW_MILD "Kalibracja XYZ prawidlowa. Osie X/Y lekko skosne. Dobra robota!"
MSG_BED_SKEW_OFFSET_DETECTION_WARNING_FRONT_BOTH_FAR "Kalibr. XYZ niedokladna. Przednie punkty kalibr. Zbyt wys. do przodu."
MSG_BED_SKEW_OFFSET_DETECTION_WARNING_FRONT_LEFT_FAR "Kalibracja XYZ niedokladna. Lewy przedni punkt zbyt wysuniety do przodu."
MSG_BED_SKEW_OFFSET_DETECTION_WARNING_FRONT_RIGHT_FAR "Kalibracja XYZ niedokladna. Prawy przedni punkt zbyt wysuniety do przodu."
MSG_BEGIN_FILE_LIST "Begin file list"
MSG_CALIBRATE_BED "Kalibracja XYZ"
MSG_CALIBRATE_BED_RESET "Reset kalibr. XYZ"
MSG_CALIBRATE_E "Kalibruj E"
MSG_CALIBRATE_PINDA "Skalibrowac"
MSG_CALIBRATION_PINDA_MENU "Cieplna kalibr."
MSG_CARD_MENU "Druk z SD"
MSG_CLEAN_NOZZLE_E "Kalibracja E skonczona. Prosze oczyscic dysze. Potem potwierdzic przyciskiem. "
MSG_CNG_SDCARD "Vymenit SD"
MSG_CONFIGURATION_VER " Last Updated: "
MSG_CONFIRM_CARRIAGE_AT_THE_TOP "Oba wozki dojechaly do gornej ramy?"
MSG_CONFIRM_NOZZLE_CLEAN "Dla prawidl. kalibracji prosze oczyscic dysze. Potw. guzikiem."
MSG_CONFIRM_NOZZLE_CLEAN_FIL_ADJ "Dla prawidlowej kalibracji prosze oczyscic dysze. Potem potwierdzic przyciskiem."
MSG_CONTROL "Kontrola"
MSG_COOLDOWN "Wychlodzic" 
MSG_CORRECTLY "Wymiana ok?"
MSG_CURRENT "Tylko aktualne"
MSG_DATE "Data:"
MSG_DISABLE_STEPPERS "Wylaczyc silniki"
MSG_DWELL "Sleep..."
MSG_E_CAL_KNOB "Prosze otaczac przycisk poki znacznik nie dosiegnie ciala ekstrudera. Potwierdzic przyciskiem."
MSG_END_FILE_LIST "End file list"
MSG_ENDSTOP_HIT "TRIGGERED"
MSG_ENDSTOP_OPEN "open"
MSG_ENDSTOPS_HIT "endstops hit: "
MSG_Enqueing "enqueing \""
MSG_ERR_COLD_EXTRUDE_STOP " cold extrusion prevented"
MSG_ERR_CHECKSUM_MISMATCH "checksum mismatch, Last Line: "
MSG_ERR_KILLED "Printer halted. kill() called!"
MSG_ERR_NO_CHECKSUM "No Checksum with line number, Last Line: "
MSG_ERR_NO_THERMISTORS "No thermistors - no temperature"
MSG_ERR_STOPPED "Printer stopped due to errors. Fix the error and use M999 to restart. (Temperature is reset. Set it after restarting)"
MSG_ERROR "BLAD:"
MSG_EXTRUDER "Ekstruder"
MSG_EXTRUDER_1 "Ekstruder 1"
MSG_EXTRUDER_2 "Ekstruder 2"
MSG_EXTRUDER_3 "Ekstruder 3"
MSG_EXTRUDER_4 "Ekstruder 4"
MSG_FACTOR " \002 Fact"
MSG_FAN_SPEED "Predkosc went."
MSG_FIL_ADJUSTING "Przebiega wyrownanie filamentow. Prosze czekac."
MSG_FILAMENT_CLEAN "Czy kolor jest czysty?"
MSG_FILAMENT_LOADING_T0 "Wloz filament do ekstrudera 1. Potwierdz przyciskiem."
MSG_FILAMENT_LOADING_T1 "Wloz filament do ekstrudera 2. Potwierdz przyciskiem."
MSG_FILAMENT_LOADING_T2 "Wloz filament do ekstrudera 3. Potwierdz przyciskiem."
MSG_FILAMENT_LOADING_T3 "Wloz filament do ekstrudera 4. Potwierdz przyciskiem."
MSG_FILAMENTCHANGE "Wymienic filament"
MSG_FIND_BED_OFFSET_AND_SKEW_ITERATION "Iteracja "
MSG_FIND_BED_OFFSET_AND_SKEW_LINE1 "Szukam punktu kalibracyjnego podkladki"
MSG_FIND_BED_OFFSET_AND_SKEW_LINE2 " z 4"
MSG_FINISHING_MOVEMENTS "Konczenie druku"
MSG_FLOW "Przeplyw"
MSG_FLOW0 "Prutok 0"
MSG_FLOW1 "Prutok 1"
MSG_FLOW2 "Prutok 2"
MSG_FOLLOW_CALIBRATION_FLOW "Drukarka nie zostala jeszcze skalibrowana. Prosze kierowac sie instrukcja, rozdzial Zaczynamy, podrozdzial Selftest."
MSG_FREE_MEMORY " Free Memory: "
MSG_HEATING "Grzanie..."
MSG_HEATING_COMPLETE "Grzanie OK."
MSG_HOMEYZ "Kalibruj Z"
MSG_HOMEYZ_DONE "Kalibracja OK"
MSG_HOMEYZ_PROGRESS "Kalibruje Z"
MSG_CHANGE_EXTR "Zmienic ekstruder"
MSG_CHANGE_SUCCESS "Wymiana ok!"
MSG_CHANGING_FILAMENT "Wymiana filamentu"
MSG_CHOOSE_EXTRUDER "Wybierz ekstruder"
MSG_IMPROVE_BED_OFFSET_AND_SKEW_LINE1 "Poprawiam precyzyjnosc punktu kalibracyjnego"
MSG_IMPROVE_BED_OFFSET_AND_SKEW_LINE2 " z 4"
MSG_INIT_SDCARD "Inic. SD"
MSG_INSERT_FILAMENT "Wprowadz filament"
MSG_KILLED "KILLED. "
MSG_LANGUAGE_NAME "Polski"
MSG_LANGUAGE_SELECT "Wybor jezyka"
MSG_LEFT "Lewy:"
MSG_LOAD_ALL "Zalad. wszystkie"
MSG_LOAD_EPROM "Ulozit pamet"
MSG_LOAD_FILAMENT "Wprowadz filament"
MSG_LOAD_FILAMENT_1 "Zaladowac fil. 1"
MSG_LOAD_FILAMENT_2 "Zaladowac fil. 2"
MSG_LOAD_FILAMENT_3 "Zaladowac fil. 3"
MSG_LOAD_FILAMENT_4 "Zaladowac fil. 4"
MSG_LOADING_COLOR "Czyszcz. koloru"
MSG_LOADING_FILAMENT "Wprow. filamentu"
MSG_LOOSE_PULLEY "Kolo pasowe"
MSG_M104_INVALID_EXTRUDER "M104 Invalid extruder "
MSG_M105_INVALID_EXTRUDER "M105 Invalid extruder "
MSG_M109_INVALID_EXTRUDER "M109 Invalid extruder "
MSG_M117_V2_CALIBRATION "M117 Kal. 1. warstwy"
MSG_M119_REPORT "Reporting endstop status"
MSG_M200_INVALID_EXTRUDER "M200 Invalid extruder "
MSG_M218_INVALID_EXTRUDER "M218 Invalid extruder "
MSG_M221_INVALID_EXTRUDER "M221 Invalid extruder "
MSG_MAIN "Menu glowne" 
MSG_MARK_FIL "Prosze oznaczyc filament 100 mm od ciala ekstrudera. Potwierdzic przyciskiem."
MSG_MAX " \002 Max"
MSG_MEASURE_BED_REFERENCE_HEIGHT_LINE1 "Okreslam wysokosc odniesienia punktu kalibracyjnego"
MSG_MEASURE_BED_REFERENCE_HEIGHT_LINE2 " z 9"
MSG_MEASURED_SKEW "Zmier. sciecie:"
MSG_MENU_CALIBRATION "Kalibracja"
MSG_MESH_BED_LEVELING "Mesh Bed Leveling"
MSG_MIN " \002 Min"
MSG_MOVE_AXIS "Ruch osi"
MSG_MOVE_CARRIAGE_TO_THE_TOP "Kalibracja XYZ. Przekrec galke, aby przesunac os Z do gornych krancowek. Nacisnij, by potwierdzic."
MSG_MOVE_CARRIAGE_TO_THE_TOP_Z "Kalibracja Z. Przekrec galke, aby przesunac os Z do gornych krancowek. Nacisnij, by potwierdzic."
MSG_MOVE_E "Extruder"
MSG_MOVE_X "Przesunac X"
MSG_MOVE_Y "Przesunac Y"
MSG_MOVE_Z "Przesunac Z"
MSG_NEW_FIRMWARE_AVAILABLE "Wyszla nowa wersja firmware:"
MSG_NEW_FIRMWARE_PLEASE_UPGRADE "Prosze zaktualizowac"
MSG_NO "Nie"
MSG_NO_CARD "Brak karty SD"
MSG_NO_MOVE "No move."
MSG_NOT_COLOR "Kolor zanieczysz."
MSG_NOT_LOADED "Brak filamentu"
MSG_NOZZLE "Dysza"
MSG_NOZZLE1 "Tryska2"
MSG_NOZZLE2 "Tryska3"
MSG_OK "ok"
MSG_PAPER "Umiesc kartke papieru na podkladce i trzymaj pod dysza podczas pomiaru pierwszych 4 punktow. Jesli dysza zahaczy o papier, wylacz drukarke."
MSG_PAUSE_PRINT "Przerwac druk"
MSG_PICK_Z "Vyberte vytisk"
MSG_PID_EXTRUDER "Kalibracja PID"
MSG_PID_FINISHED "Kal. PID zakonczona"
